Frequency [MHz], Weight, a: Tsky [K], b: Tres1 [K], c: Tres2 [K], d: Tmodel [K], e: T21 [K]
73.449707,1,1846.636905,-0.11441,-0.026358,-0.523553,-0.549911
73.840332,1,1821.664936,-0.09976,-0.016675,-0.526933,-0.543608
74.230957,1,1797.14557,-0.095846,-0.018228,-0.529238,-0.547466
74.621582,1,1773.077015,-0.093618,-0.021634,-0.53079,-0.552424
75.012207,1,1749.499141,-0.042669,0.023762,-0.531825,-0.508063
75.402832,1,1726.295212,-0.0495,0.011635,-0.532512,-0.520877
75.793457,1,1703.525126,-0.044262,0.01196,-0.532968,-0.521008
76.184082,1,1681.169433,-0.036736,0.015037,-0.53327,-0.518233
76.574707,1,1659.186128,-0.059529,-0.01168,-0.533469,-0.545149
76.965332,1,1637.636999,-0.041711,0.002774,-0.533599,-0.530825
77.355957,1,1616.471328,-0.025111,0.016595,-0.533679,-0.517084
77.746582,1,1595.657721,-0.032482,0.007047,-0.533723,-0.526676
78.137207,1,1575.213562,-0.03803,-0.000069,-0.533737,-0.533806
78.527832,1,1555.132449,-0.039978,-0.002971,-0.533723,-0.536694
78.918457,1,1535.411353,-0.033395,0.00327,-0.533679,-0.530409
79.309082,1,1516.041978,-0.018832,0.018095,-0.533599,-0.515504
79.699707,1,1496.986581,-0.026494,0.011289,-0.533469,-0.52218
80.090332,1,1478.249926,-0.044278,-0.00507,-0.53327,-0.53834
80.480957,1,1459.842614,-0.054442,-0.013271,-0.532968,-0.546239
80.871582,1,1441.766056,-0.048617,-0.005002,-0.532512,-0.537514
81.262207,1,1423.96836,-0.071921,-0.025461,-0.531825,-0.557286
81.652832,1,1406.50339,-0.063895,-0.014307,-0.53079,-0.545097
82.043457,1,1389.349236,-0.040021,0.012805,-0.529238,-0.516433
82.434082,1,1372.447029,-0.05291,0.003021,-0.526933,-0.523912
82.824707,1,1355.856139,-0.037091,0.021488,-0.523553,-0.502065
83.215332,1,1339.507293,-0.055895,0.004456,-0.518686,-0.51423
83.605957,1,1323.446816,-0.057204,0.003539,-0.511831,-0.508292
83.996582,1,1307.671868,-0.038213,0.020976,-0.502429,-0.481453
84.387207,1,1292.127764,-0.048104,0.007008,-0.489909,-0.482901
84.777832,1,1276.858721,-0.037295,0.010706,-0.473767,-0.463061
85.168457,1,1261.84554,-0.019752,0.017749,-0.453653,-0.435904
85.559082,1,1247.069482,-0.009115,0.014384,-0.429462,-0.415078
85.949707,1,1232.523672,-0.007283,-0.001098,-0.401391,-0.402489
86.340332,1,1218.214991,-0.002523,-0.016449,-0.369963,-0.386412
86.730957,1,1204.156838,0.023297,-0.012732,-0.335987,-0.348719
87.121582,1,1190.310488,0.036071,-0.023041,-0.300487,-0.323528
87.512207,1,1176.707498,0.071862,-0.010201,-0.26458,-0.274781
87.902832,1,1163.327069,0.114268,0.010475,-0.229364,-0.218889
88.293457,1,1150.133317,0.131693,0.008356,-0.195811,-0.187455
88.684082,1,1137.135192,0.13728,-0.002654,-0.164693,-0.167347
89.074707,1,1124.3415,0.143918,-0.009136,-0.136544,-0.14568
89.465332,1,1111.754139,0.157499,-0.004912,-0.111661,-0.116573
89.855957,1,1099.340374,0.149185,-0.018749,-0.090124,-0.108873
90.246582,1,1087.102879,0.125452,-0.044269,-0.071842,-0.116111
90.637207,1,1075.10017,0.148533,-0.019468,-0.056595,-0.076063
91.027832,1,1063.279552,0.169362,0.006283,-0.044086,-0.037803
91.418457,1,1051.615497,0.165954,0.01065,-0.033976,-0.023326
91.809082,1,1040.111418,0.145184,0.000154,-0.025917,-0.025763
92.199707,1,1028.771962,0.115083,-0.017518,-0.019576,-0.037094
92.590332,1,1017.603993,0.085818,-0.032514,-0.014647,-0.047161
92.980957,1,1006.596294,0.0494,-0.053102,-0.010859,-0.063961
93.371582,1,995.808165,0.068287,-0.017065,-0.007979,-0.025044
93.762207,1,985.174949,0.080904,0.013817,-0.005811,0.008006
94.152832,1,974.665204,0.058823,0.010948,-0.004196,0.006752
94.543457,1,964.32048,0.046541,0.018687,-0.003005,0.015682
94.934082,1,954.156901,0.06306,0.055926,-0.002133,0.053793
95.324707,1,944.063604,0.000336,0.014528,-0.001502,0.013026
95.715332,1,934.137025,-0.042444,-0.006386,-0.001049,-0.007435
96.105957,1,924.437363,-0.002388,0.056018,-0.000727,0.055291
96.496582,1,914.778064,-0.063419,0.017773,-0.000499,0.017274
96.887207,1,905.294465,-0.087622,0.01676,-0.00034,0.01642
97.277832,1,895.920693,-0.138353,-0.010407,-0.00023,-0.010637
97.668457,1,886.692297,-0.1776,-0.025736,-0.000154,-0.02589
98.059082,1,877.642853,-0.169377,0.006739,-0.000103,0.006636
98.449707,1,868.701882,-0.181803,0.018884,-0.000068,0.018816
98.840332,1,859.822813,-0.259145,-0.033581,-0.000044,-0.033625
99.230957,0,0,0,0,0,0
99.621582,0,0,0,0,0,0
